datetime;open;high;low;close
2015-01-10 0:00;293.89;295;271.03;275.59
2015-01-11 0:00;275.6;280.94;262.08;266.39
2015-01-12 0:00;266.34;272.43;263.54;267.42
2015-01-13 0:00;267.1;268.15;216;227
2015-01-14 0:00;227.01;230.89;152.4;171.41
2015-01-15 0:00;172;233.9;168.5;210.98
2015-01-16 0:00;210.69;223.15;198.04;208.03
2015-01-17 0:00;208.02;212.84;192.17;199.69
2015-01-18 0:00;199.69;222;195.02;211.85
2015-01-19 0:00;211.85;220.94;207.7;216.34
2015-01-20 0:00;216.01;216.81;201.98;210.65
2015-01-21 0:00;211.94;228.9;205;227.16
2015-01-22 0:00;227.75;239;226.01;234.08
2015-01-23 0:00;234.08;240;225.55;233.64
2015-01-24 0:00;233.65;249.99;230.03;249.19
2015-01-25 0:00;249.33;257;241.33;255.31
2015-01-26 0:00;254.67;309.9;254.67;274.8
2015-01-27 0:00;274.76;278.51;243.1;263.98
2015-01-28 0:00;263.97;266.45;225.91;236.07
2015-01-29 0:00;236.07;242.18;220;235.79
2015-01-30 0:00;235.12;244.98;225.52;228.98
2015-01-31 0:00;228.96;234.8;215.75;216.9
2015-02-01 0:00;218.04;233;208.48;226.93
2015-02-02 0:00;226.93;241.98;221.79;238.47
2015-02-03 0:00;238.38;244.39;223.79;227.99
2015-02-04 0:00;227.75;231;220.02;227
2015-02-05 0:00;226.93;229;210.43;216.81
2015-02-06 0:00;216.46;225.86;210.59;223.37
2015-02-07 0:00;223.44;231.14;221.77;228.3
2015-02-08 0:00;228.3;232.89;217.28;223.88
2015-02-09 0:00;223.92;225.99;215;220.9
2015-02-10 0:00;220.91;222;215;220.42
2015-02-11 0:00;220.42;223.43;217.99;219.55
2015-02-12 0:00;219.57;223.09;218.01;223
2015-02-13 0:00;223.02;242.35;221.37;237
2015-02-14 0:00;237;259.31;236.9;256.99
2015-02-15 0:00;256.81;267.92;227.75;235.63
2015-02-16 0:00;235.61;241.23;229.2;234.7
2015-02-17 0:00;234.69;248.78;232.01;244.7
2015-02-18 0:00;244.7;247;232.01;237.37
2015-02-19 0:00;237.36;245.01;235.59;240.59
2015-02-20 0:00;240.61;249.32;239.41;245.48
2015-02-21 0:00;245.48;247.8;244;245.41
2015-02-22 0:00;245.4;247.42;232.48;236.5
2015-02-23 0:00;236.49;241;232.05;239.65
2015-02-24 0:00;239.63;240.97;236.07;239.55
2015-02-25 0:00;239.55;240.98;236;237.97
2015-02-26 0:00;237.97;238.55;234.01;236.84
2015-02-27 0:00;236.84;256.15;236.16;252.78
2015-02-28 0:00;252.78;254.56;245.2;253.47
2015-03-01 0:00;253.45;260.25;245;258.34
