time;open;high;low;close
2015-01-10;293.89;295.0;271.03;275.59
2015-01-11;275.6;280.94;262.08;266.39
2015-01-12;266.34;272.43;263.54;267.42
2015-01-13;267.1;268.15;216.0;227.0
2015-01-14;227.01;230.89;152.4;171.41
2015-01-15;172.0;233.9;168.5;210.98
2015-01-16;210.69;223.15;198.04;208.03
2015-01-17;208.02;212.84;192.17;199.69
2015-01-18;199.69;222.0;195.02;211.85
2015-01-19;211.85;220.94;207.7;216.34
2015-01-20;216.01;216.81;201.98;210.65
2015-01-21;211.94;228.9;205.0;227.16
2015-01-22;227.75;239.0;226.01;234.08
2015-01-23;234.08;240.0;225.55;233.64
2015-01-24;233.65;249.99;230.03;249.19
2015-01-25;249.33;257.0;241.33;255.31
2015-01-26;254.67;309.9;254.67;274.8
2015-01-27;274.76;278.51;243.1;263.98
2015-01-28;263.97;266.45;225.91;236.07
2015-01-29;236.07;242.18;220.0;235.79
2015-01-30;235.12;244.98;225.52;228.98
2015-01-31;228.96;234.8;215.75;216.9
2015-02-01;218.04;233.0;208.48;226.93
2015-02-02;226.93;241.98;221.79;238.47
2015-02-03;238.38;244.39;223.79;227.99
2015-02-04;227.75;231.0;220.02;227.0
2015-02-05;226.93;229.0;210.43;216.81
2015-02-06;216.46;225.86;210.59;223.37
2015-02-07;223.44;231.14;221.77;228.3
2015-02-08;228.3;232.89;217.28;223.88
2015-02-09;223.92;225.99;215.0;220.9
2015-02-10;220.91;222.0;215.0;220.42
2015-02-11;220.42;223.43;217.99;219.55
2015-02-12;219.57;223.09;218.01;223.0
2015-02-13;223.02;242.35;221.37;237.0
2015-02-14;237.0;259.31;236.9;256.99
2015-02-15;256.81;267.92;227.75;235.63
2015-02-16;235.61;241.23;229.2;234.7
2015-02-17;234.69;248.78;232.01;244.7
2015-02-18;244.7;247.0;232.01;237.37
2015-02-19;237.36;245.01;235.59;240.59
2015-02-20;240.61;249.32;239.41;245.48
2015-02-21;245.48;247.8;244.0;245.41
2015-02-22;245.4;247.42;232.48;236.5
2015-02-23;236.49;241.0;232.05;239.65
2015-02-24;239.63;240.97;236.07;239.55
2015-02-25;239.55;240.98;236.0;237.97
2015-02-26;237.97;238.55;234.01;236.84
2015-02-27;236.84;256.15;236.16;252.78
2015-02-28;252.78;254.56;245.2;253.47
2015-03-01;253.45;260.25;245.0;258.34
2015-03-02;257.52;277.0;255.61;274.93
2015-03-03;275.88;284.95;265.89;281.0
2015-03-04;281.03;283.88;264.94;270.78
2015-03-05;270.72;280.5;262.2;273.09
2015-03-06;273.46;276.46;269.0;272.68
2015-03-07;272.61;279.48;270.0;276.71
2015-03-08;276.71;277.57;271.12;275.0
2015-03-09;275.0;289.0;274.17;287.12
2015-03-10;287.12;296.8;283.96;290.0
2015-03-11;290.0;296.79;285.83;296.54
2015-03-12;296.29;297.95;289.0;295.31
2015-03-13;295.66;295.66;282.99;283.25
2015-03-14;283.25;287.69;280.46;282.01
2015-03-15;282.36;287.75;281.42;286.75
2015-03-16;286.73;294.26;285.78;289.27
2015-03-17;289.27;292.99;281.9;282.8
2015-03-18;282.8;284.0;249.02;256.45
2015-03-19;256.59;265.95;249.0;261.81
2015-03-20;261.97;265.27;257.0;261.96
2015-03-21;261.92;262.49;256.25;260.0
2015-03-22;260.0;272.0;259.24;267.74
2015-03-23;268.28;270.07;259.5;265.94
2015-03-24;265.98;266.52;241.84;245.0
2015-03-25;245.29;250.0;236.4;246.94
2015-03-26;246.99;253.75;244.91;249.23
2015-03-27;249.23;250.52;245.12;247.94
2015-03-28;247.93;253.83;247.25;252.87
2015-03-29;252.91;252.96;239.96;242.0
2015-03-30;242.0;248.86;236.52;247.95
2015-03-31;247.95;248.59;238.55;244.24
2015-04-01;244.24;246.83;239.32;246.69
2015-04-02;246.68;256.96;244.52;253.28
2015-04-03;253.22;256.67;251.23;254.19
2015-04-04;254.19;255.85;250.76;253.7
2015-04-05;253.5;261.0;251.65;260.54
2015-04-06;260.54;262.98;254.0;255.58
2015-04-07;255.54;256.62;251.5;253.72
2015-04-08;253.71;254.96;243.06;244.58
2015-04-09;244.84;246.3;238.47;243.43
2015-04-10;243.75;243.94;231.0;235.99
2015-04-11;235.99;239.42;233.0;236.15
2015-04-12;236.09;237.5;233.42;236.5
2015-04-13;236.42;236.9;219.64;223.15
2015-04-14;222.97;224.79;210.0;215.8
2015-04-15;215.78;222.88;214.05;222.88
2015-04-16;222.83;229.67;222.44;227.5
2015-04-17;227.49;228.29;220.0;222.6
2015-04-18;222.6;224.72;220.32;223.4
2015-04-19;223.35;227.35;221.91;222.54
2015-04-20;222.54;226.51;221.43;224.3
2015-04-21;224.3;236.0;223.91;235.74
2015-04-22;235.71;238.64;229.1;233.45
2015-04-23;233.25;236.22;232.01;235.98
